Productnummer;Omschrijving;Inclusieve winkelprijzen;Exclusieve winkelprijzen;Persoonlijke prijs;Leverancier;LeverancierId
3562;SAVAL INBOUWWASTAFEL WIT 53X44CM;199,41;164,8;98,88;Sterck;LF7FIsS6Lh
802;PRECIOSA INBOUWWASTAFEL DIAM.50CM KERATEC WIT;525,14;434;260,4;Sterck;LF7FIsS6Lh
