Productnummer;Omschrijving;Inclusieve winkelprijzen;Exclusieve winkelprijzen;Persoonlijke prijs;Leverancier;LeverancierId
000418;ONDERPOT HAPPY D WIT VARIO WONDERGL;733,26;606,00;363,60;Sterck;LF7FIsS6Lh
051261;HAPPY D WIT VARIO ONDERPOT + RESERVOIR WONDERGL;781,66;646,00;387,60;Sterck;LF7FIsS6Lh
010295;280 UNIVERSELE CLOSET VOOR DUO S;169,40;140,00;113,61;Sterck;LF7FIsS6Lh
010296;280 UNIVERSELE CLOSET VOOR DUO SV WIT;208,36;172,20;117,72;Sterck;LF7FIsS6Lh
010297;280 RESERVOIR VOOR DUO WIT;159,72;132,00;79,20;Sterck;LF7FIsS6Lh
051978;IFO KINDER WC WIT M/ZITTING HOOGTE 30CM GESLOTEN UITG.S;867,57;717,00;430,20;Sterck;LF7FIsS6Lh
000303;SAN REMO PACK WC AO WIT ONDERPOT + RESERVOIR + ZITTING;476,09;393,46;393,46;Sterck;LF7FIsS6Lh
010280;DIO ONDERPOT AO VERTICAAL WIT;182,71;151,00;96,64;Sterck;LF7FIsS6Lh
010284;DIO RESERVOIR ZIJ-INLAAT WIT;123,24;101,85;65,18;Sterck;LF7FIsS6Lh
010292;NEW NATIONAL WCCOMB ONDERPOT + RESERVOIR NEW NATIONAL S WIT;726,00;600,00;384,00;Sterck;LF7FIsS6Lh
010293;NEW NATIONAL WCCOMB ONDERPOT + RESERVOIR NEW NATIONAL SV WIT;726,00;600,00;384,00;Sterck;LF7FIsS6Lh
000431;DURAPLUS RESERVOIR WIT SIDESPL., DUAL FLUSH 0879200005;375,10;310,00;198,40;Sterck;LF7FIsS6Lh
000444;D-CODE STAAND WC DIEPSPOEL HOR ZONDER RESERVOIR  21110900002;123,42;102,00;65,28;Sterck;LF7FIsS6Lh
000446;D-CODE STAAND WC DIEPSPOEL VERT 215 MM WIT 21110100002;104,06;86,00;55,04;Sterck;LF7FIsS6Lh
000255;CONNECT WANDCLOSET 55 CM WIT ON E711601;284,35;235,00;141,00;Sterck;LF7FIsS6Lh
000298;PLAYA HANGWC WIT;205,70;170,00;102,00;Sterck;LF7FIsS6Lh
003565;SAVAL HANGWC PORCELEIN WIT DIEPSPOEL;166,98;138,00;82,80;Sterck;LF7FIsS6Lh
064236;SAVAL PRO WANDWC DIEPSPOEL 355 x 535 AFV. HORIZONT. WIT;166,98;138,00;82,80;Sterck;LF7FIsS6Lh
003571;SUBWAY 2.0 WANDWC 37X56CM VERDEKT WIT 56001001;428,34;354,00;219,48;Sterck;LF7FIsS6Lh
000412;HANGWC STARCK 3 WIT DIEPSPOEL MODEL;325,49;269,00;161,40;Sterck;LF7FIsS6Lh
000413;STARCK 3 COMPACT HANGTOILET WIT DIEPSPOEL MODEL;352,11;291,00;174,60;Sterck;LF7FIsS6Lh
000449;STARCK 3 WANDWC  MET VERBORGEN BEVESTIGINGEN WIT;378,73;313,00;187,80;Sterck;LF7FIsS6Lh
024664;STARCK 3 WANDWC COMPACT MET VERBORGEN BEVESTIGING WIT;408,98;338,00;202,80;Sterck;LF7FIsS6Lh
000432;STARCK 3 WANDWC WIT DIEPSPOEL WONDERGLISS;421,08;348,00;222,72;Sterck;LF7FIsS6Lh
000420;D-CODE HANGTOILET DIEPSPOEL WIT OUD NR 22090900002;147,62;122,00;73,20;Sterck;LF7FIsS6Lh
010222;HANGWC DURAPLUS PORCELEIN 6L. WIT DIEPSPOEL;313,39;259,00;155,40;Sterck;LF7FIsS6Lh
025292;GEMMA WANDCLOSET PORSELEIN WIT;109,84;90,78;54,47;Sterck;LF7FIsS6Lh
010281;DIO HANGWC WIT;168,19;139,00;88,96;Sterck;LF7FIsS6Lh
000302;SAN REMO HANGWC 48CM WIT;274,19;226,60;135,96;Sterck;LF7FIsS6Lh
025664;O.NOVO PACK HANGCLOSET + ZITTING SOFTCLOSING WIT ALPIN;281,93;233,00;144,46;Sterck;LF7FIsS6Lh
021395;DARLING NEW WANDWC DIEPSPOEL INCL.BEVESTIGING 370X540 WIT;446,49;369,00;236,16;Sterck;LF7FIsS6Lh
000799;HANGWC RENOVA NR1 COMPACT KERATEC WIT 48CM;349,69;289,00;173,40;Sterck;LF7FIsS6Lh
049152;DURASTYLE WANDWC RIMLESS Z/SPOELR DIEPSPOEL 370X540 WIT;349,69;289,00;184,96;Sterck;LF7FIsS6Lh
000245;CONNECT CLOSETZITTING SOFTCLOSE WIT;145,20;120,00;72,00;Sterck;LF7FIsS6Lh
000246;CONNECT CLOSETZITTING WIT;84,70;70,00;42,00;Sterck;LF7FIsS6Lh
000354;TONIC WCZITTING SOFTCLOSE WIT;205,10;169,50;101,70;Sterck;LF7FIsS6Lh
000356;TONIC WCZITTING WIT;103,46;85,50;51,30;Sterck;LF7FIsS6Lh
003573;SUBWAY 2.0 WC-ZIT SOFTCLOSE WIT QUICK RELEASE 9M68S101;219,01;181,00;112,22;Sterck;LF7FIsS6Lh
000387;WASHPOINT WCZITTING SOFTCLOSE WIT;176,66;146,00;87,60;Sterck;LF7FIsS6Lh
000388;WASHPOINT WCZITTING WIT;103,46;85,50;51,30;Sterck;LF7FIsS6Lh
000404;STARCK 3 WCZITTING WIT SCHARNIER RVS;123,42;102,00;61,20;Sterck;LF7FIsS6Lh
000405;STARCK 3 WCZITTING WIT SOFTCLOSE SCHARNIER RVS;191,18;158,00;94,80;Sterck;LF7FIsS6Lh
006509;PRESSALIT 3 WC-ZITTING M/DEKSEL SOFTCLOSE WIT;152,34;125,90;88,13;Sterck;LF7FIsS6Lh
000406;ZITTING WIT HAPPY D / STARCK 2 SCHARNIEREN RVS;183,92;152,00;91,20;Sterck;LF7FIsS6Lh
000421;D-CODE WC ZITTING WIT SCHARNIEREN RVS;60,50;50,00;30,00;Sterck;LF7FIsS6Lh
000422;D-CODE WC ZITTING WIT MET SOFTCLOSE;125,84;104,00;62,40;Sterck;LF7FIsS6Lh
000299;PLAYA ZITTING EN DEKSEL WIT;54,45;45,00;27,00;Sterck;LF7FIsS6Lh
007096;PLAYA ZITTING EN DEKSEL SOFT CLOSING WIT;114,95;95,00;58,90;Sterck;LF7FIsS6Lh
010273;420 WCZITTING WIT;352,11;291,00;174,60;Sterck;LF7FIsS6Lh
006505;WCZITTING 2000 M/DEKSEL BEIGE BAHAMA;116,83;96,55;67,58;Sterck;LF7FIsS6Lh
006503;WCZIT. TIVOLI 2 M/ DEKSEL WIT RVS;108,17;89,40;53,64;Sterck;LF7FIsS6Lh
013914;WC ZITTING TIVOLI SOFT M DEKSEL;114,35;94,50;66,15;Sterck;LF7FIsS6Lh
006506;WCZITTING DELIGHT M/DEKSEL SOFTCLOSE WIT;155,85;128,80;90,16;Sterck;LF7FIsS6Lh
006507;WCZITTING CALMO M/DEKSEL WIT;148,23;122,50;85,75;Sterck;LF7FIsS6Lh
006508;WCZITTING CALMO M/DEKSEL SOFTCLOSE WIT;148,23;122,50;85,75;Sterck;LF7FIsS6Lh
006510;WC ZITTING 1000 WIT INOX SCHARNIEREN;71,52;59,11;35,47;Sterck;LF7FIsS6Lh
004274;EXCLUSIVE HIGHLINE WC-ZITTING M/DEKSEL WIT MET SOFTCLOSE;104,18;86,10;51,66;Sterck;LF7FIsS6Lh
004275;WCZIT RONDO M/DEKSEL WIT M/RVS SCHARNIEREN;60,28;49,82;29,89;Sterck;LF7FIsS6Lh
004276;WCZIT. SUBLINE M/STEEKBEV. WIT VOOR S50/SUBWAY/OMNIA ARHC.;115,86;95,75;57,45;Sterck;LF7FIsS6Lh
004277;BILLY WC ZITTING MET NYLON SCHR. WIT;27,41;22,65;13,59;Sterck;LF7FIsS6Lh
021396;DARLING NEW/STARCK 2 ZITTING AFNEEMB  M/SOFTCLOSE WIT;238,37;197,00;126,08;Sterck;LF7FIsS6Lh
000806;RENOVA NR.1 WCZITTING RVS SCHARNIER WIT;87,12;72,00;43,20;Sterck;LF7FIsS6Lh
000817;4U WCZITTING SOFT CLOSE WIT SCHARNIEREN RVS;234,74;194,00;116,40;Sterck;LF7FIsS6Lh
003564;SAVAL BIDET STAAND PORSELEIN WIT;189,92;156,96;94,18;Sterck;LF7FIsS6Lh
003569;SAVAL URINOIR WIT TOEVOER BOVEN;251,78;208,08;124,85;Sterck;LF7FIsS6Lh
003570;SAVAL URINOIR WIT VERDEKTE TOEVOER;251,78;208,08;124,85;Sterck;LF7FIsS6Lh
004033;URINOIRSCHEIDINGSWAND;302,10;249,67;149,80;Sterck;LF7FIsS6Lh
000205;ASTOR URINOIR TOEVOER ACHTER WIT;211,75;175,00;105,00;Sterck;LF7FIsS6Lh
000206;ASTOR URINOIR TOEVOER BOVEN WIT;211,75;175,00;105,00;Sterck;LF7FIsS6Lh
000358;UITGIETBAK DOURO MET STOOTRAND WIT 445X340X345MM;223,85;185,00;111,00;Sterck;LF7FIsS6Lh
000293;ROOSTER DOURO UITGIETBAK;60,50;50,00;30,00;Sterck;LF7FIsS6Lh
019866;O NOVO UITGIETBAK 595X200X500 MM WIT;361,79;299,00;185,38;Sterck;LF7FIsS6Lh
023120;O NOVO OVERLOOPGARNITUUR VOOR UITGIETBAK;58,08;48,00;29,76;Sterck;LF7FIsS6Lh
000183;UITGIETBAK PLAATSTAAL AG. 510 ‹ Z/KRG 510X360 MM WIT;133,10;110,00;66,00;Sterck;LF7FIsS6Lh
004690;UITGIETBAK WIT KUNSTSTOF 550X450;108,91;90,01;54,01;Sterck;LF7FIsS6Lh
004691;ROOSTER DRUIPREK EN 4 HAKEN VOOR UITGIETBAK;43,20;35,70;21,42;Sterck;LF7FIsS6Lh
025589;STANDARD UITGIETBAK 440M/ ROOSTER 440X330X350;284,35;235,00;145,70;Sterck;LF7FIsS6Lh
004077;SANIBROUYEUR SPECIAAL ONTKALKER 5L;44,77;37,00;31,45;Sterck;LF7FIsS6Lh
004076;SANIBROYEUR X2 SILENCE;768,35;635,00;419,10;Sterck;LF7FIsS6Lh
004078;SANICOMPACT LUXE ECO WIT;1.318,90;1.090,00;719,40;Sterck;LF7FIsS6Lh
000442;D-CODE ONDERBOUW WASTAF. 49CM WIT;148,83;123,00;73,80;Sterck;LF7FIsS6Lh
000179;RONDO EW3 INBOUWLAVABO PLAATSTAAL WIT DIAM 475MM;88,49;73,13;43,88;Sterck;LF7FIsS6Lh
